iter	Passed	Remaining
0	1	294
1	4	316
2	6	315
3	8	312
4	10	309
5	12	305
6	14	302
7	16	297
8	19	298
9	21	297
10	23	296
11	25	297
12	27	294
13	30	296
14	32	294
15	35	297
16	38	300
17	40	298
18	42	295
19	45	294
20	47	291
21	49	288
22	51	287
23	54	284
24	56	281
25	58	278
26	60	276
27	62	272
28	64	270
29	66	267
30	68	264
31	70	261
32	72	258
33	74	255
34	76	251
35	78	248
36	80	245
37	82	242
38	84	239
39	86	237
40	88	234
41	90	232
42	92	230
43	94	228
44	97	226
45	99	224
46	101	221
47	103	219
48	104	216
49	106	213
50	108	210
51	110	207
52	112	205
53	114	202
54	115	200
55	117	197
56	119	194
57	121	192
58	123	190
59	125	187
60	126	185
61	128	182
62	130	180
63	132	178
64	134	175
65	136	173
66	138	170
67	139	168
68	141	166
69	143	164
70	145	162
71	147	159
72	149	158
73	151	156
74	154	154
75	156	152
76	158	150
77	160	148
78	162	146
79	164	143
80	166	141
81	168	139
82	169	137
83	171	134
84	173	132
85	175	130
86	177	128
87	179	126
88	181	124
89	183	122
90	184	119
91	187	117
92	189	115
93	191	113
94	193	111
95	194	109
96	196	107
97	198	105
98	200	103
99	202	101
100	204	99
101	206	97
102	208	95
103	210	93
104	212	91
105	214	88
106	216	87
107	219	85
108	221	83
109	223	81
110	225	79
111	228	77
112	230	75
113	232	73
114	234	71
115	236	69
116	238	67
117	241	65
118	243	63
119	245	61
120	247	59
121	249	57
122	251	55
123	254	53
124	256	51
125	258	49
126	260	47
127	262	45
128	265	43
129	267	41
130	269	39
131	272	37
132	274	35
133	276	33
134	279	31
135	282	29
136	284	26
137	286	24
138	288	22
139	290	20
140	292	18
141	295	16
142	297	14
143	299	12
144	301	10
145	304	8
146	306	6
147	308	4
148	311	2
149	313	0
